sku,name,category_id,description,unit,cost_price,selling_price,quantity_in_stock,minimum_stock_level,maximum_stock_level,reorder_point,reorder_quantity,location,brand,model,warranty_period,is_serialized,created_by
ELEC004,iPad Pro 12.9",1,Apple iPad Pro with M2 chip,pcs,999.00,1299.00,30,15,80,20,30,A1-04,Apple,iPad Pro M2,12,TRUE,1
ELEC005,Surface Pro 9,1,Microsoft Surface Pro 9 2-in-1,pcs,899.00,1199.00,22,10,50,15,25,A1-05,Microsoft,Surface Pro 9,12,TRUE,1
ELEC006,Gaming Desktop RTX 4080,1,High-end gaming desktop with RTX 4080,pcs,1899.00,2499.00,8,3,20,5,10,A1-06,Custom Build,RTX 4080 Gaming,24,TRUE,1
ELEC007,iMac 24" M2,1,Apple iMac 24-inch with M2 chip,pcs,1199.00,1599.00,15,5,30,8,15,A1-07,Apple,iMac M2 24",12,TRUE,1
ELEC008,Chromebook Spin 713,1,Acer Chromebook with touchscreen,pcs,499.00,699.00,35,15,70,20,30,A1-08,Acer,Chromebook Spin 713,12,FALSE,1
ELEC009,ThinkPad X1 Carbon,1,Lenovo ThinkPad X1 Carbon Gen 10,pcs,1399.00,1799.00,20,8,40,12,20,A1-09,Lenovo,ThinkPad X1 Carbon,36,TRUE,1
ELEC010,Mac Mini M2,1,Apple Mac Mini with M2 chip,pcs,599.00,799.00,28,12,60,18,25,A1-10,Apple,Mac Mini M2,12,TRUE,1
ELEC011,Samsung 32" 4K Monitor,1,Samsung 32-inch 4K UHD Monitor,pcs,299.00,449.00,45,20,100,25,40,B1-01,Samsung,UR59C,36,FALSE,1
ELEC012,LG UltraWide 34",1,LG 34-inch UltraWide Monitor,pcs,449.00,599.00,32,15,60,20,30,B1-02,LG,34WN80C-B,24,FALSE,1
ELEC013,Dell UltraSharp 27",1,Dell 27-inch 4K USB-C Monitor,pcs,399.00,549.00,38,18,70,22,35,B1-03,Dell,U2723QE,36,FALSE,1
ELEC014,ASUS ROG Swift 27",1,ASUS 27-inch Gaming Monitor 165Hz,pcs,599.00,799.00,25,10,50,15,25,B1-04,ASUS,PG279QM,36,FALSE,1
ELEC015,HP E24 G5 Monitor,1,HP 24-inch Business Monitor,pcs,149.00,229.00,60,30,120,40,50,B1-05,HP,E24 G5,36,FALSE,1
ELEC016,BenQ PD3220U,1,BenQ 32-inch 4K Designer Monitor,pcs,999.00,1299.00,12,5,25,8,15,B1-06,BenQ,PD3220U,36,FALSE,1
ELEC017,Acer Predator X27,1,Acer 27-inch 4K Gaming Monitor HDR,pcs,1499.00,1899.00,8,3,15,5,10,B1-07,Acer,Predator X27,36,FALSE,1
ELEC018,ViewSonic VP2468,1,ViewSonic 24-inch Professional Monitor,pcs,199.00,299.00,42,20,80,25,35,B1-08,ViewSonic,VP2468,36,FALSE,1
ELEC019,MSI Optix MAG274QRF,1,MSI 27-inch 165Hz Gaming Monitor,pcs,349.00,499.00,28,12,50,18,25,B1-09,MSI,Optix MAG274QRF,24,FALSE,1
ELEC020,AOC 24G2 Gaming Monitor,1,AOC 24-inch 144Hz Gaming Monitor,pcs,159.00,229.00,55,25,100,30,45,B1-10,AOC,24G2,24,FALSE,1
ELEC021,Sony WH-1000XM5,1,Sony Wireless Noise Canceling Headphones,pcs,299.00,399.00,75,30,150,40,60,C1-01,Sony,WH-1000XM5,24,FALSE,1
ELEC022,Bose QuietComfort 45,1,Bose Wireless Noise Canceling Headphones,pcs,279.00,379.00,68,25,120,35,50,C1-02,Bose,QuietComfort 45,24,FALSE,1
ELEC023,Apple AirPods Pro 2,1,Apple AirPods Pro with MagSafe Case,pcs,199.00,249.00,120,50,200,70,80,C1-03,Apple,AirPods Pro 2,12,FALSE,1
ELEC024,Sennheiser HD 660 S,1,Sennheiser Open-Back Audiophile Headphones,pcs,399.00,549.00,25,10,40,15,20,C1-04,Sennheiser,HD 660 S,24,FALSE,1
ELEC025,JBL Charge 5 Speaker,1,JBL Portable Bluetooth Speaker,pcs,129.00,179.00,85,40,150,50,70,C1-05,JBL,Charge 5,12,FALSE,1
ELEC026,Logitech Blue Yeti,1,Logitech Blue Yeti USB Microphone,pcs,79.00,129.00,45,20,80,25,35,C1-06,Logitech,Blue Yeti,24,FALSE,1
ELEC027,Audio-Technica ATH-M50x,1,Audio-Technica Professional Monitor Headphones,pcs,119.00,169.00,55,25,100,30,45,C1-07,Audio-Technica,ATH-M50x,24,FALSE,1
ELEC028,Rode PodMic USB,1,Rode PodMic USB Broadcast Microphone,pcs,149.00,199.00,32,15,60,20,30,C1-08,Rode,PodMic USB,24,FALSE,1
ELEC029,Yamaha HS5 Studio Monitor,1,Yamaha HS5 Active Studio Monitor,pcs,169.00,229.00,24,10,40,15,20,C1-09,Yamaha,HS5,36,FALSE,1
ELEC030,Focusrite Scarlett Solo,1,Focusrite Scarlett Solo Audio Interface,pcs,89.00,129.00,38,18,70,22,32,C1-10,Focusrite,Scarlett Solo,24,FALSE,1
ELEC031,Logitech MX Master 3S,1,Logitech MX Master 3S Wireless Mouse,pcs,79.00,109.00,95,40,180,50,70,D1-01,Logitech,MX Master 3S,24,FALSE,1
ELEC032,Apple Magic Keyboard,1,Apple Magic Keyboard with Touch ID,pcs,149.00,199.00,65,25,120,35,50,D1-02,Apple,Magic Keyboard,12,FALSE,1
ELEC033,Corsair K95 RGB Platinum,1,Corsair K95 RGB Platinum Mechanical Keyboard,pcs,159.00,219.00,42,18,80,25,35,D1-03,Corsair,K95 RGB Platinum,24,FALSE,1
ELEC034,Razer DeathAdder V3,1,Razer DeathAdder V3 Gaming Mouse,pcs,69.00,99.00,88,35,150,45,65,D1-04,Razer,DeathAdder V3,24,FALSE,1
ELEC035,SteelSeries Apex Pro,1,SteelSeries Apex Pro Mechanical Gaming Keyboard,pcs,179.00,249.00,28,12,50,18,25,D1-05,SteelSeries,Apex Pro,24,FALSE,1
ELEC036,Logitech C920 HD Pro,1,Logitech C920 HD Pro Webcam,pcs,59.00,89.00,110,50,200,65,85,D1-06,Logitech,C920 HD Pro,24,FALSE,1
ELEC037,Microsoft Surface Pen,1,Microsoft Surface Pen Digital Stylus,pcs,79.00,109.00,72,30,120,40,55,D1-07,Microsoft,Surface Pen,12,FALSE,1
ELEC038,Elgato Stream Deck,1,Elgato Stream Deck MK.2 for streamers,pcs,149.00,199.00,40,15,70,20,30,D1-08,Elgato,Stream Deck MK.2,24,FALSE,1
ELEC039,HyperX Cloud II Headset,1,HyperX Cloud II Gaming Head       
